Total,125534
anon,72199,0.5751
/dev/pvrsrvkm,36335,0.2894
/data/app-lib/tv.fun.launcher-2/libcocos2djs.so,7428,0.0592
/data/app-lib/tv.fun.launcher-2/libfsp2p.so,3252,0.0259
/data/dalvik-cache/data@app@tv.fun.launcher-2.apk@classes.dex,2180,0.0174
/system/fonts/DroidSansFallback.ttf,1122,0.0089
/data/dalvik-cache/system@framework@framework.jar@classes.dex,377,0.0030
/data/dalvik-cache/system@framework@core.jar@classes.dex,171,0.0014
/data/dalvik-cache/data@app@tv.fun.launcher.test-2.apk@classes.dex,160,0.0013
/data/dalvik-cache/system@framework@android.test.runner.jar@classes.dex,144,0.0011
/system/vendor/lib/egl/libGLESv2_POWERVR_SGX544_115.so,137,0.0011
