# main cities
101010100,北京
101010200,海淀
101010300,朝阳
101010400,顺义
101010500,怀柔
101010600,通州
101010700,昌平
101010800,延庆
101010900,丰台
101011000,石景山
101011100,大兴
101011200,房山
101011300,密云
101011400,门头沟
101011500,平谷
101020100,上海
101020200,闵行
101020300,宝山
101020500,嘉定
101020600,浦东南汇
101020700,金山
101020800,青浦
101020900,松江
101021000,奉贤
101021100,崇明
101021200,徐家汇
101021300,浦东
101030100,天津
101030200,武清
101030300,宝坻
101030400,东丽
101030500,西青
101030600,北辰
101030700,宁河
101030800,汉沽
101030900,静海
101031000,津南
101031100,塘沽
101031200,大港
101031400,蓟县
101040100,重庆
101040200,永川
101040300,合川
101040400,南川
101040500,江津
101040600,万盛
101040700,渝北
101040800,北碚
101040900,巴南
101041000,长寿
101041100,黔江
101041300,万州
101041400,涪陵
101041500,开县
101041600,城口
101041700,云阳
101041800,巫溪
101041900,奉节
101042000,巫山
101042100,潼南
101042200,垫江
101042300,梁平
101042400,忠县
101042500,石柱
101042600,大足
101042700,荣昌
101042800,铜梁
101042900,璧山
101043000,丰都
101043100,武隆
101043200,彭水
101043300,綦江
101043400,酉阳
101043600,秀山
# cities
101050101,哈尔滨
101050102,双城
101050103,呼兰
101060101,长春
101060102,农安
101060103,德惠
101070101,沈阳
101070103,辽中
101070104,康平
101080101,呼和浩特
101080102,土左旗
101080103,托县
101090101,石家庄
101090102,井陉
101090103,正定
101100101,太原
101100102,清徐
101100103,阳曲
101110101,西安
101110102,长安
101110103,临潼
101120101,济南
101120102,长清
101120103,商河
101130101,乌鲁木齐
101130103,小渠子
101130105,达坂城
101140101,拉萨
101140102,当雄
101140103,尼木
101150101,西宁
101150102,大通
101150103,湟源
101160101,兰州
101160102,皋兰
101160103,永登
101170101,银川
101170102,永宁
101170103,灵武
101180101,郑州
101180102,巩义
101180103,荥阳
101190101,南京
101190102,溧水
101190103,高淳
101200101,武汉
101200102,蔡甸
101200103,黄陂
101210101,杭州
101210102,萧山
101210103,桐庐
101220101,合肥
101220102,长丰
101220103,肥东
101230101,福州
101230102,闽清
101230103,闽侯
101240101,南昌
101240102,新建
101240103,南昌县
101250101,长沙
101250102,宁乡
101250103,浏阳
101260101,贵阳
101260102,白云
101260103,花溪
101270101,成都
101270102,龙泉驿
101270103,新都
101280101,广州
101280102,番禺
101280103,从化
101290101,昆明
101290103,东川
101290104,寻甸
101300101,南宁
101300103,邕宁
101300104,横县
101310101,海口
101310201,三亚
101310202,东方
101320101,香港
101320102,九龙
101320103,新界
101330101,澳门
101330102,氹仔岛
101330103,路环岛
101340101,台北
101340102,桃园
101340103,新竹
# self add cities
101280601,深圳
101280701,珠海
