Total,106832
anon,57714,0.5402
/dev/pvrsrvkm,31711,0.2968
/data/app-lib/tv.fun.launcher-2/libcocos2djs.so,7428,0.0695
/data/app-lib/tv.fun.launcher-2/libfsp2p.so,3252,0.0304
/data/dalvik-cache/data@app@tv.fun.launcher-2.apk@classes.dex,2180,0.0204
/system/fonts/DroidSansFallback.ttf,1469,0.0138
/data/dalvik-cache/system@framework@framework.jar@classes.dex,408,0.0038
/data/dalvik-cache/system@framework@core.jar@classes.dex,161,0.0015
/data/dalvik-cache/data@app@tv.fun.launcher.test-2.apk@classes.dex,160,0.0015
/data/dalvik-cache/system@framework@android.test.runner.jar@classes.dex,148,0.0014
/system/vendor/lib/egl/libGLESv2_POWERVR_SGX544_115.so,137,0.0013
